student_id,behavioral_cluster,target_academic_impact,avg_daily_usage_hours,sleep_hours_per_night,mental_health_score,addicted_score,conflicts_over_social_media,most_used_platform,gender,intervention_plan
2,2,0,2.1,7.5,8,3,0,Twitter,Male,Empower as Wellness Mentors
4,2,0,3.0,7.0,7,4,1,YouTube,Male,Empower as Wellness Mentors
7,2,0,1.5,8.0,9,2,0,LinkedIn,Male,Empower as Wellness Mentors
9,2,0,4.0,6.5,7,5,1,TikTok,Male,Empower as Wellness Mentors
10,2,0,3.3,7.0,7,4,1,Instagram,Female,Empower as Wellness Mentors
13,2,0,2.8,7.2,8,4,1,LinkedIn,Male,Empower as Wellness Mentors
15,2,0,3.7,6.8,7,5,2,YouTube,Male,Empower as Wellness Mentors
17,2,0,2.0,7.8,8,3,0,LinkedIn,Male,Empower as Wellness Mentors
19,2,0,3.5,6.7,7,5,1,Facebook,Male,Empower as Wellness Mentors
22,2,0,2.5,7.3,8,4,1,LinkedIn,Female,Empower as Wellness Mentors
25,2,0,3.2,6.9,7,5,2,Facebook,Male,Empower as Wellness Mentors
27,2,0,3.8,6.6,7,5,1,YouTube,Male,Empower as Wellness Mentors
29,2,0,2.2,7.4,8,3,0,LinkedIn,Male,Empower as Wellness Mentors
31,2,0,3.6,6.7,7,5,1,Facebook,Male,Empower as Wellness Mentors
34,2,0,2.6,7.2,8,4,1,LinkedIn,Female,Empower as Wellness Mentors
37,2,0,3.1,6.8,7,5,1,Facebook,Male,Empower as Wellness Mentors
39,2,0,3.9,6.5,7,6,2,YouTube,Male,Empower as Wellness Mentors
41,2,0,2.3,7.3,8,4,1,LinkedIn,Male,Empower as Wellness Mentors
43,2,0,3.7,6.6,7,5,2,Facebook,Male,Empower as Wellness Mentors
46,2,0,2.7,7.1,8,4,1,LinkedIn,Female,Empower as Wellness Mentors
49,2,0,3.3,6.7,7,5,2,Facebook,Male,Empower as Wellness Mentors
51,2,0,3.8,6.4,7,6,2,YouTube,Male,Empower as Wellness Mentors
53,2,0,2.4,7.2,8,4,1,LinkedIn,Male,Empower as Wellness Mentors
55,2,0,3.6,6.5,7,5,2,Facebook,Male,Empower as Wellness Mentors
58,2,0,2.8,7.0,8,4,1,LinkedIn,Female,Empower as Wellness Mentors
61,2,0,3.1,7.1,7,5,1,Facebook,Male,Empower as Wellness Mentors
65,2,0,2.3,7.4,8,3,1,LinkedIn,Male,Empower as Wellness Mentors
67,2,0,3.9,6.5,7,6,2,YouTube,Male,Empower as Wellness Mentors
69,2,0,2.8,7.2,8,4,1,LinkedIn,Male,Empower as Wellness Mentors
72,2,0,3.2,6.8,7,5,2,Facebook,Female,Empower as Wellness Mentors
75,2,0,2.5,7.3,8,4,1,LinkedIn,Male,Empower as Wellness Mentors
78,2,0,2.9,7.0,7,5,2,Facebook,Female,Empower as Wellness Mentors
81,2,0,3.0,7.1,8,4,1,LinkedIn,Male,Empower as Wellness Mentors
83,2,0,3.8,6.6,7,6,2,Facebook,Male,Empower as Wellness Mentors
84,2,0,2.7,7.2,8,4,1,LinkedIn,Female,Empower as Wellness Mentors
88,2,0,2.6,7.3,8,4,1,LinkedIn,Female,Empower as Wellness Mentors
91,2,0,2.9,7.0,7,5,2,Facebook,Male,Empower as Wellness Mentors
93,2,0,3.7,6.5,7,6,2,Snapchat,Male,Empower as Wellness Mentors
95,2,0,2.4,7.4,8,4,1,LinkedIn,Male,Empower as Wellness Mentors
98,2,0,2.8,7.1,8,4,1,LinkedIn,Female,Empower as Wellness Mentors
102,2,0,2.5,7.3,8,4,1,LinkedIn,Female,Empower as Wellness Mentors
105,2,0,2.9,7.0,7,5,2,LinkedIn,Male,Empower as Wellness Mentors
107,2,0,3.8,6.6,7,6,2,YouTube,Male,Empower as Wellness Mentors
109,2,0,2.6,7.2,8,4,1,LinkedIn,Male,Empower as Wellness Mentors
113,2,0,4.9,7.1,7,5,2,Facebook,Male,Empower as Wellness Mentors
116,2,0,4.8,7.2,8,5,2,Instagram,Female,Empower as Wellness Mentors
119,2,0,4.7,7.3,7,5,2,TikTok,Male,Empower as Wellness Mentors
122,2,0,4.6,7.4,8,5,2,Instagram,Female,Empower as Wellness Mentors
125,2,0,4.5,7.5,7,5,2,Facebook,Male,Empower as Wellness Mentors
128,2,0,4.4,7.6,8,5,2,Instagram,Female,Empower as Wellness Mentors
131,2,0,4.3,7.7,7,5,2,TikTok,Male,Empower as Wellness Mentors
134,2,0,4.2,7.8,8,5,2,Instagram,Female,Empower as Wellness Mentors
137,2,0,4.1,7.9,7,5,2,Facebook,Male,Empower as Wellness Mentors
140,2,0,4.0,8.0,8,5,2,Instagram,Female,Empower as Wellness Mentors
143,2,0,3.9,8.1,7,5,2,TikTok,Male,Empower as Wellness Mentors
146,2,0,3.8,8.2,8,5,2,Instagram,Female,Empower as Wellness Mentors
149,2,0,3.7,8.3,7,5,2,Facebook,Male,Empower as Wellness Mentors
152,2,0,3.6,8.4,8,5,2,Instagram,Female,Empower as Wellness Mentors
155,2,0,3.5,8.5,7,5,2,TikTok,Male,Empower as Wellness Mentors
158,2,0,3.4,8.6,8,5,2,Instagram,Female,Empower as Wellness Mentors
162,2,0,4.8,7.2,7,6,2,Facebook,Male,Empower as Wellness Mentors
165,2,0,5.1,7.0,7,5,2,Facebook,Female,Empower as Wellness Mentors
168,2,0,5.2,7.1,7,6,2,Facebook,Male,Empower as Wellness Mentors
171,2,0,5.0,7.3,7,5,2,Facebook,Female,Empower as Wellness Mentors
174,2,0,5.1,7.4,7,6,2,Facebook,Male,Empower as Wellness Mentors
177,2,0,4.9,7.5,7,5,2,Facebook,Female,Empower as Wellness Mentors
180,2,0,5.0,7.6,7,6,2,Facebook,Male,Empower as Wellness Mentors
183,2,0,4.8,7.7,7,5,2,Facebook,Female,Empower as Wellness Mentors
186,2,0,4.9,7.8,7,6,2,Facebook,Male,Empower as Wellness Mentors
189,2,0,4.7,7.9,7,5,2,Facebook,Female,Empower as Wellness Mentors
192,2,0,4.8,8.0,7,6,2,Facebook,Male,Empower as Wellness Mentors
195,2,0,4.6,8.1,7,5,2,Facebook,Female,Empower as Wellness Mentors
198,2,0,4.7,8.2,7,6,2,Facebook,Male,Empower as Wellness Mentors
201,2,0,4.5,8.3,7,5,2,Facebook,Female,Empower as Wellness Mentors
204,2,0,4.6,8.4,7,6,2,Facebook,Male,Empower as Wellness Mentors
207,2,0,4.4,8.5,7,5,2,Facebook,Female,Empower as Wellness Mentors
210,2,0,4.5,8.6,7,6,2,Facebook,Male,Empower as Wellness Mentors
