student_id,behavioral_cluster,target_academic_impact,avg_daily_usage_hours,sleep_hours_per_night,mental_health_score,addicted_score,conflicts_over_social_media,most_used_platform,gender,intervention_plan
3,1,1,6.0,5.0,5,9,4,TikTok,Female,Awareness & Screen Nudges
6,1,1,7.2,4.5,4,9,5,Instagram,Female,Awareness & Screen Nudges
14,1,1,6.5,5.5,5,9,4,Instagram,Female,Awareness & Screen Nudges
21,1,1,5.3,5.5,5,8,4,TikTok,Male,Awareness & Screen Nudges
24,1,1,5.7,5.4,5,8,4,TikTok,Female,Awareness & Screen Nudges
26,1,1,6.1,5.2,5,9,4,Instagram,Female,Awareness & Screen Nudges
30,1,1,5.9,5.3,5,8,4,Instagram,Female,Awareness & Screen Nudges
33,1,1,5.4,5.4,5,8,4,TikTok,Male,Awareness & Screen Nudges
36,1,1,5.6,5.5,5,8,4,TikTok,Female,Awareness & Screen Nudges
38,1,1,6.2,5.1,5,9,4,Instagram,Female,Awareness & Screen Nudges
42,1,1,5.8,5.4,5,8,4,Instagram,Female,Awareness & Screen Nudges
45,1,1,5.5,5.3,5,8,4,TikTok,Male,Awareness & Screen Nudges
48,1,1,5.5,5.6,5,8,4,TikTok,Female,Awareness & Screen Nudges
50,1,1,6.3,5.2,5,9,4,Instagram,Female,Awareness & Screen Nudges
54,1,1,5.7,5.5,5,8,4,Instagram,Female,Awareness & Screen Nudges
57,1,1,5.6,5.2,5,8,4,TikTok,Male,Awareness & Screen Nudges
60,1,1,5.4,5.7,5,8,4,TikTok,Female,Awareness & Screen Nudges
62,1,1,5.6,5.6,5,8,3,Instagram,Female,Awareness & Screen Nudges
64,1,1,6.1,5.2,4,9,4,Snapchat,Female,Awareness & Screen Nudges
68,1,1,5.7,5.4,5,8,4,TikTok,Female,Awareness & Screen Nudges
71,1,1,5.4,5.5,5,8,4,Snapchat,Male,Awareness & Screen Nudges
74,1,1,5.8,5.3,5,8,4,Instagram,Female,Awareness & Screen Nudges
77,1,1,5.5,5.4,5,8,4,TikTok,Male,Awareness & Screen Nudges
80,1,1,5.9,5.2,5,9,4,Instagram,Female,Awareness & Screen Nudges
85,1,1,5.6,5.3,5,8,4,Snapchat,Male,Awareness & Screen Nudges
87,1,1,5.3,5.5,5,8,4,TikTok,Male,Awareness & Screen Nudges
90,1,1,5.8,5.2,5,9,4,Instagram,Female,Awareness & Screen Nudges
94,1,1,5.5,5.4,5,8,4,Instagram,Female,Awareness & Screen Nudges
97,1,1,5.7,5.3,5,8,4,Snapchat,Male,Awareness & Screen Nudges
100,1,1,5.4,5.5,5,8,4,TikTok,Female,Awareness & Screen Nudges
101,1,1,5.8,5.2,5,9,4,YouTube,Male,Awareness & Screen Nudges
104,1,1,5.6,5.4,5,8,4,Instagram,Female,Awareness & Screen Nudges
108,1,1,5.5,5.5,5,8,4,Snapchat,Female,Awareness & Screen Nudges
111,1,1,6.1,6.2,5,8,4,Instagram,Male,Awareness & Screen Nudges
114,1,1,5.5,6.0,5,8,4,Instagram,Female,Awareness & Screen Nudges
117,1,1,6.0,5.8,5,8,4,Facebook,Male,Awareness & Screen Nudges
120,1,1,5.4,6.2,5,8,4,Instagram,Female,Awareness & Screen Nudges
123,1,1,5.3,6.3,5,8,4,TikTok,Male,Awareness & Screen Nudges
126,1,1,5.2,6.4,5,8,4,Instagram,Female,Awareness & Screen Nudges
129,1,1,5.1,6.5,5,8,4,Facebook,Male,Awareness & Screen Nudges
132,1,1,5.0,6.6,5,8,4,Instagram,Female,Awareness & Screen Nudges
221,1,1,6.5,6.0,5,9,4,Instagram,Female,Awareness & Screen Nudges
229,1,1,7.0,5.8,4,9,4,TikTok,Female,Awareness & Screen Nudges
234,1,1,5.7,6.5,5,8,3,TikTok,Male,Awareness & Screen Nudges
237,1,1,6.8,5.9,4,9,4,Instagram,Female,Awareness & Screen Nudges
245,1,1,6.9,5.7,4,9,4,TikTok,Female,Awareness & Screen Nudges
250,1,1,5.6,6.6,5,8,3,TikTok,Male,Awareness & Screen Nudges
253,1,1,6.7,5.8,4,9,4,Instagram,Female,Awareness & Screen Nudges
261,1,1,6.6,5.6,4,9,4,TikTok,Female,Awareness & Screen Nudges
269,1,1,6.4,5.7,4,9,4,Instagram,Female,Awareness & Screen Nudges
277,1,1,6.6,5.5,4,9,4,TikTok,Female,Awareness & Screen Nudges
285,1,1,6.7,5.4,4,9,4,Instagram,Female,Awareness & Screen Nudges
293,1,1,6.8,5.3,4,9,4,TikTok,Female,Awareness & Screen Nudges
301,1,1,6.9,5.2,4,9,4,Instagram,Female,Awareness & Screen Nudges
309,1,1,7.0,5.1,4,9,4,TikTok,Female,Awareness & Screen Nudges
317,1,1,7.1,5.0,4,9,4,Instagram,Female,Awareness & Screen Nudges
324,1,1,5.8,6.5,5,8,4,WhatsApp,Male,Awareness & Screen Nudges
327,1,1,6.8,5.5,5,9,4,TikTok,Female,Awareness & Screen Nudges
334,1,1,5.9,6.4,5,8,4,WhatsApp,Male,Awareness & Screen Nudges
337,1,1,6.9,5.4,5,9,4,Instagram,Female,Awareness & Screen Nudges
344,1,1,6.0,6.3,5,8,4,WhatsApp,Male,Awareness & Screen Nudges
347,1,1,7.0,5.3,5,9,4,TikTok,Female,Awareness & Screen Nudges
354,1,1,6.1,6.2,5,8,4,WhatsApp,Male,Awareness & Screen Nudges
357,1,1,7.1,5.2,5,9,4,Instagram,Female,Awareness & Screen Nudges
364,1,1,6.2,6.1,5,8,4,WhatsApp,Male,Awareness & Screen Nudges
367,1,1,7.2,5.1,5,9,4,TikTok,Female,Awareness & Screen Nudges
374,1,1,6.3,6.0,5,8,4,WhatsApp,Male,Awareness & Screen Nudges
377,1,1,7.3,5.0,5,9,4,Instagram,Female,Awareness & Screen Nudges
